time,open,high,low,close,Volume,Volume MA
2020-09-02 21:00:00,1.18348,1.18471,1.18223,1.18403,11211,5088.7
2020-09-02 22:00:00,1.18405,1.1843,1.18269,1.18395,9833,5421.4
2020-09-02 23:00:00,1.18395,1.18494,1.18273,1.18479,6622,5688.7
2020-09-03 00:00:00,1.18479,1.18479,1.18298,1.18336,5987,5970.4
2020-09-03 01:00:00,1.18337,1.1834,1.18232,1.18246,5490,6187.45
2020-09-03 02:00:00,1.18243,1.1847,1.18239,1.18465,5077,6349.5
2020-09-03 03:00:00,1.18462,1.18578,1.1843,1.18542,1876,6270.5
2020-09-03 04:00:00,1.18507,1.18547,1.18482,1.18543,543,6027.3
2020-09-03 05:00:00,1.18537,1.1855,1.18507,1.18536,923,5954.2
2020-09-03 06:00:00,1.18538,1.18547,1.18457,1.18458,1401,5948.3
2020-09-03 07:00:00,1.1846,1.18468,1.18299,1.18312,3673,6054.8
2020-09-03 08:00:00,1.18312,1.18364,1.18245,1.18307,5540,6209.25
2020-09-03 09:00:00,1.18307,1.18358,1.18217,1.18272,4734,6150.85
2020-09-03 10:00:00,1.18272,1.18278,1.18202,1.18209,3400,5860.05
2020-09-03 11:00:00,1.1821,1.18255,1.18046,1.18102,4194,5683.55
2020-09-03 12:00:00,1.18103,1.18123,1.17968,1.18021,5607,5592.7
2020-09-03 13:00:00,1.18019,1.18077,1.17895,1.17979,7684,5666.65
2020-09-03 14:00:00,1.17983,1.18205,1.17891,1.18175,9549,5714.85
2020-09-03 15:00:00,1.18174,1.18361,1.18152,1.18326,7578,5622.7
2020-09-03 16:00:00,1.18326,1.18359,1.18195,1.18232,7842,5438.2
2020-09-03 17:00:00,1.18233,1.18286,1.18113,1.18124,6124,5183.85
2020-09-03 18:00:00,1.18125,1.18136,1.18019,1.18134,5372,4960.8
2020-09-03 19:00:00,1.18132,1.18414,1.18068,1.18324,8741,5066.75
2020-09-03 20:00:00,1.18324,1.18492,1.18273,1.18436,8368,5185.8
2020-09-03 21:00:00,1.18437,1.18489,1.18243,1.18375,12722,5547.4
2020-09-03 22:00:00,1.18374,1.18399,1.18111,1.18299,13599,5973.5
2020-09-03 23:00:00,1.18298,1.18442,1.18259,1.18333,9073,6333.35
2020-09-04 00:00:00,1.18336,1.18477,1.18321,1.18475,7863,6699.35
2020-09-04 01:00:00,1.18471,1.18594,1.18466,1.18567,5618,6934.1
2020-09-04 02:00:00,1.18568,1.18646,1.18476,1.18563,7269,7227.5
2020-09-04 03:00:00,1.18559,1.18591,1.18506,1.18514,1557,7121.7
2020-09-04 04:00:00,1.18483,1.18511,1.18473,1.18501,488,6869.1
2020-09-04 05:00:00,1.18501,1.18511,1.18443,1.18461,1294,6697.1
2020-09-04 06:00:00,1.18463,1.18507,1.1839,1.18413,2042,6629.2
2020-09-04 07:00:00,1.18413,1.18579,1.18413,1.18527,4165,6627.75
2020-09-04 08:00:00,1.18528,1.18581,1.1846,1.18524,5345,6614.65
2020-09-04 09:00:00,1.18526,1.18571,1.18412,1.18414,3747,6417.8
2020-09-04 10:00:00,1.18413,1.185,1.18408,1.18479,3180,6099.35
2020-09-04 11:00:00,1.18475,1.18533,1.18447,1.18517,2744,5857.65
2020-09-04 12:00:00,1.18517,1.18524,1.18441,1.18523,3278,5629.45
2020-09-04 13:00:00,1.18517,1.18529,1.18349,1.18367,6126,5629.55
2020-09-04 14:00:00,1.18368,1.1854,1.18335,1.18401,9028,5812.35
2020-09-04 15:00:00,1.18401,1.18655,1.18388,1.18592,7073,5728.95
2020-09-04 16:00:00,1.18592,1.18628,1.18447,1.18527,5943,5607.7
2020-09-04 17:00:00,1.18526,1.1859,1.18423,1.18472,6018,5272.5
2020-09-04 18:00:00,1.18471,1.18551,1.18397,1.18433,7128,4948.95
2020-09-04 19:00:00,1.18435,1.18546,1.18019,1.18116,13834,5187.0
2020-09-04 20:00:00,1.18114,1.18143,1.17903,1.1799,14337,5510.7
2020-09-04 21:00:00,1.17989,1.18067,1.17861,1.17973,15251,5992.35
2020-09-04 22:00:00,1.17973,1.18215,1.1781,1.18201,12057,6231.75
2020-09-04 23:00:00,1.18203,1.18365,1.18162,1.1835,9512,6629.5
2020-09-05 00:00:00,1.18351,1.18476,1.18322,1.1844,6478,6929.0
2020-09-05 01:00:00,1.18436,1.18548,1.18402,1.18513,6547,7191.65
2020-09-05 02:00:00,1.18513,1.18528,1.18423,1.18428,7331,7456.1
2020-09-05 03:00:00,1.18429,1.18438,1.18366,1.18403,1497,7322.7
2020-09-07 04:00:00,1.18448,1.18462,1.18315,1.18394,341,7072.5
2020-09-07 05:00:00,1.18393,1.1843,1.18363,1.18405,1963,6983.3
2020-09-07 06:00:00,1.18405,1.18435,1.18335,1.18343,1521,6900.35
2020-09-07 07:00:00,1.18343,1.18427,1.18332,1.18361,3451,6935.7
2020-09-07 08:00:00,1.18359,1.18411,1.1835,1.18364,3806,6962.1
2020-09-07 09:00:00,1.18365,1.18369,1.183,1.1835,2680,6789.8
2020-09-07 10:00:00,1.1835,1.18384,1.18318,1.18366,1524,6414.6
2020-09-07 11:00:00,1.18367,1.18371,1.18322,1.18339,1778,6149.85
2020-09-07 12:00:00,1.18336,1.1836,1.1827,1.18295,2894,5997.4
2020-09-07 13:00:00,1.183,1.18331,1.18246,1.18282,5762,5984.6
2020-09-07 14:00:00,1.18283,1.18456,1.18245,1.1838,6144,5935.4
2020-09-07 15:00:00,1.18381,1.18487,1.18318,1.18325,6330,5560.2
2020-09-07 16:00:00,1.18325,1.18372,1.18251,1.18285,5733,5130.0
2020-09-07 17:00:00,1.18286,1.18296,1.18127,1.18191,5792,4657.05
2020-09-07 18:00:00,1.18192,1.18274,1.1816,1.18206,4193,4263.85
2020-09-07 19:00:00,1.18206,1.18255,1.18187,1.18225,4184,3997.45
2020-09-07 20:00:00,1.18225,1.18255,1.18149,1.182,4671,3907.1
2020-09-07 21:00:00,1.18199,1.18325,1.18176,1.18262,4099,3784.7
2020-09-07 22:00:00,1.18265,1.18284,1.1815,1.18186,3201,3578.2
2020-09-07 23:00:00,1.18187,1.18192,1.18149,1.18162,2228,3614.75
